dis,dis_name,dis_group,dis_group_name,dis_system,dis_system_name,dis_name_eng,SexDisease,chronic
A00,霍乱,A00-A09,肠道传染病,A00-B99,传染病和寄生虫病,Cholera,0,0
A01,伤寒和副伤寒,A00-A09,肠道传染病,A00-B99,传染病和寄生虫病,Typhoid and paratyphoid fevers,0,0
A02,其他沙门菌感染,A00-A09,肠道传染病,A00-B99,传染病和寄生虫病,Other salmonella infections,0,0
A03,细菌性痢疾,A00-A09,肠道传染病,A00-B99,传染病和寄生虫病,Shigellosis,0,0
A04,其他细菌性肠道感染,A00-A09,肠道传染病,A00-B99,传染病和寄生虫病,Other bacterial intestinal infections,0,0
A05,"其他细菌性食物中毒,不可归类在他处者",A00-A09,肠道传染病,A00-B99,传染病和寄生虫病,"Other bacterial foodborne intoxications, not elsewhere classified",0,0
A06,阿米巴病,A00-A09,肠道传染病,A00-B99,传染病和寄生虫病,Amoebiasis,0,0
A07,其他原虫性肠道疾病,A00-A09,肠道传染病,A00-B99,传染病和寄生虫病,Other protozoal intestinal diseases,0,0
A08,病毒性和其他特指的肠道感染,A00-A09,肠道传染病,A00-B99,传染病和寄生虫病,Viral and other specified intestinal infections,0,0
A09,其他传染性和未特指病因的胃肠炎和结肠炎,A00-A09,肠道传染病,A00-B99,传染病和寄生虫病,Diarrhoea and gastroenteritis of presumed infectious origin,0,0
A15,"呼吸道结核,经细菌学和组织学证实",A15-A19,结核病,A00-B99,传染病和寄生虫病,"Respiratory tuberculosis, bacteriologically and histologically confirmed",0,0
A16,"呼吸道结核,未经细菌学或组织学所证实",A15-A19,结核病,A00-B99,传染病和寄生虫病,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",0,0
A17,神经系统的结核,A15-A19,结核病,A00-B99,传染病和寄生虫病,Tuberculosis of nervous system,0,0
A18,其他器官的结核,A15-A19,结核病,A00-B99,传染病和寄生虫病,Tuberculosis of other organs,0,0
A19,粟粒性结核,A15-A19,结核病,A00-B99,传染病和寄生虫病,Miliary tuberculosis,0,0
A20,鼠疫,A20-A28,某些动物源性细菌性疾病,A00-B99,传染病和寄生虫病,Plague,0,0
A21,土拉菌病[兔热病],A20-A28,某些动物源性细菌性疾病,A00-B99,传染病和寄生虫病,Tularaemia,0,0
A22,炭疽,A20-A28,某些动物源性细菌性疾病,A00-B99,传染病和寄生虫病,Anthrax,0,0
A23,布氏菌病,A20-A28,某些动物源性细菌性疾病,A00-B99,传染病和寄生虫病,Brucellosis,0,0
A24,鼻疽和类鼻疽,A20-A28,某些动物源性细菌性疾病,A00-B99,传染病和寄生虫病,Glanders and melioidosis,0,0
A25,鼠咬热,A20-A28,某些动物源性细菌性疾病,A00-B99,传染病和寄生虫病,Rat-bite fevers,0,0
A26,类丹毒,A20-A28,某些动物源性细菌性疾病,A00-B99,传染病和寄生虫病,Erysipeloid,0,0
A27,钩端螺旋体病,A20-A28,某些动物源性细菌性疾病,A00-B99,传染病和寄生虫病,Leptospirosis,0,0
A28,"其他动物源性细菌性疾病,不可归类在他处者",A20-A28,某些动物源性细菌性疾病,A00-B99,传染病和寄生虫病,"Other zoonotic bacterial diseases, not elsewhere classified",0,0
A30,麻风[汉森病],A30-A49,其他细菌性疾病,A00-B99,传染病和寄生虫病,Leprosy [Hansen's disease],0,0
A31,其他分枝杆菌感染,A30-A49,其他细菌性疾病,A00-B99,传染病和寄生虫病,Infection due to other mycobacteria,0,0
A32,利斯特菌病,A30-A49,其他细菌性疾病,A00-B99,传染病和寄生虫病,Listeriosis,0,0
A33,新生儿破伤风,A30-A49,其他细菌性疾病,A00-B99,传染病和寄生虫病,Tetanus neonatorum,0,0
A34,产科破伤风,A30-A49,其他细菌性疾病,A00-B99,传染病和寄生虫病,Obstetrical tetanus,2,0
A35,其他破伤风,A30-A49,其他细菌性疾病,A00-B99,传染病和寄生虫病,Other tetanus,0,0
A36,白喉,A30-A49,其他细菌性疾病,A00-B99,传染病和寄生虫病,Diphtheria,0,0
A37,百日咳,A30-A49,其他细菌性疾病,A00-B99,传染病和寄生虫病,Whooping cough,0,0
A38,猩红热,A30-A49,其他细菌性疾病,A00-B99,传染病和寄生虫病,Scarlet fever,0,0
A39,脑膜炎球菌感染,A30-A49,其他细菌性疾病,A00-B99,传染病和寄生虫病,Meningococcal infection,0,0
A40,链球菌性败血症,A30-A49,其他细菌性疾病,A00-B99,传染病和寄生虫病,Streptococcal septicaemia,0,0
A41,其他脓毒病,A30-A49,其他细菌性疾病,A00-B99,传染病和寄生虫病,Other septicaemia,0,0
A42,放线菌病,A30-A49,其他细菌性疾病,A00-B99,传染病和寄生虫病,Actinomycosis,0,0
A43,诺卡菌病,A30-A49,其他细菌性疾病,A00-B99,传染病和寄生虫病,Nocardiosis,0,0
A44,巴尔通体病,A30-A49,其他细菌性疾病,A00-B99,传染病和寄生虫病,Bartonellosis,0,0
A46,丹毒,A30-A49,其他细菌性疾病,A00-B99,传染病和寄生虫病,Erysipelas,0,0
A48,"其他细菌性疾病,不可归类在他处者",A30-A49,其他细菌性疾病,A00-B99,传染病和寄生虫病,"Other bacterial diseases, not elsewhere classified",0,0
A49,未特指部位的细菌性感染,A30-A49,其他细菌性疾病,A00-B99,传染病和寄生虫病,Bacterial infection of unspecified site,0,0
A50,先天性梅毒,A50-A64,主要为性传播模式的感染,A00-B99,传染病和寄生虫病,Congenital syphilis,0,0
A51,早期梅毒,A50-A64,主要为性传播模式的感染,A00-B99,传染病和寄生虫病,Early syphilis,0,0
A52,晚期梅毒,A50-A64,主要为性传播模式的感染,A00-B99,传染病和寄生虫病,Late syphilis,0,2
A53,其他和未特指的梅毒,A50-A64,主要为性传播模式的感染,A00-B99,传染病和寄生虫病,Other and unspecified syphilis,0,2
A54,淋球菌感染,A50-A64,主要为性传播模式的感染,A00-B99,传染病和寄生虫病,Gonococcal infection,0,0
A55,衣原体(性病性)淋巴肉芽肿,A50-A64,主要为性传播模式的感染,A00-B99,传染病和寄生虫病,Chlamydial lymphogranuloma (venereum),0,0
A56,其他性传播的衣原体疾病,A50-A64,主要为性传播模式的感染,A00-B99,传染病和寄生虫病,Other sexually transmitted chlamydial diseases,0,0
A57,软下疳,A50-A64,主要为性传播模式的感染,A00-B99,传染病和寄生虫病,Chancroid,0,0
